iter	Passed	Remaining
652	1455	3003
653	1458	3001
654	1460	2999
655	1463	2997
656	1465	2996
657	1468	2994
658	1470	2992
659	1472	2990
660	1475	2988
661	1477	2986
662	1480	2984
663	1482	2982
664	1485	2981
665	1487	2979
666	1489	2977
667	1492	2975
668	1494	2973
669	1497	2971
670	1499	2969
671	1501	2967
672	1504	2966
673	1506	2964
674	1509	2962
675	1511	2960
676	1513	2958
677	1516	2956
678	1518	2954
679	1521	2952
680	1523	2950
681	1525	2948
682	1528	2947
683	1530	2945
684	1533	2943
685	1535	2941
686	1538	2939
687	1540	2937
688	1542	2935
689	1545	2933
690	1547	2931
691	1550	2929
692	1552	2928
693	1554	2926
694	1557	2924
695	1559	2922
696	1562	2920
697	1564	2918
698	1567	2916
699	1569	2915
700	1572	2913
701	1574	2912
702	1577	2909
703	1579	2907
704	1581	2904
705	1583	2902
706	1585	2899
707	1587	2897
708	1589	2894
709	1591	2892
710	1593	2889
711	1595	2886
712	1597	2884
713	1599	2881
714	1602	2879
715	1604	2876
716	1606	2875
717	1609	2873
718	1611	2871
719	1614	2869
720	1616	2868
721	1619	2866
722	1621	2864
723	1624	2862
724	1626	2860
725	1628	2858
726	1631	2856
727	1633	2854
728	1636	2852
729	1638	2850
730	1640	2847
731	1642	2845
732	1644	2842
733	1646	2840
734	1648	2837
735	1650	2835
736	1652	2832
737	1655	2830
738	1657	2827
739	1659	2824
740	1661	2822
741	1663	2819
742	1665	2817
743	1667	2814
744	1669	2812
745	1671	2809
746	1673	2806
747	1675	2804
748	1677	2801
749	1679	2799
750	1681	2796
751	1683	2793
752	1685	2791
753	1687	2788
754	1689	2786
755	1691	2783
756	1693	2780
757	1695	2778
758	1697	2775
759	1699	2773
760	1701	2770
761	1703	2767
762	1705	2765
763	1707	2762
764	1709	2760
765	1711	2757
766	1713	2755
767	1715	2752
768	1717	2750
769	1719	2747
770	1721	2744
771	1723	2742
772	1725	2739
773	1727	2736
774	1729	2734
775	1731	2731
776	1733	2729
777	1735	2726
778	1737	2723
779	1739	2721
780	1741	2718
781	1743	2716
782	1745	2713
783	1747	2711
784	1749	2708
785	1752	2706
786	1754	2703
787	1756	2700
788	1758	2698
789	1760	2695
790	1762	2693
791	1764	2690
792	1766	2688
793	1768	2685
794	1770	2683
795	1772	2680
796	1774	2677
797	1776	2675
798	1778	2672
799	1780	2670
800	1782	2667
801	1784	2665
802	1786	2662
803	1788	2660
804	1790	2657
805	1792	2655
806	1794	2652
807	1796	2650
808	1798	2648
809	1801	2646
810	1803	2644
811	1806	2642
812	1808	2640
813	1811	2639
814	1813	2637
815	1816	2635
816	1818	2633
817	1821	2632
818	1824	2630
819	1826	2628
820	1829	2626
821	1831	2624
822	1833	2621
823	1835	2619
824	1837	2616
825	1839	2614
826	1841	2611
827	1843	2609
828	1845	2607
829	1847	2604
830	1849	2602
831	1851	2599
832	1853	2597
833	1855	2594
834	1857	2592
835	1859	2589
836	1861	2587
837	1863	2584
838	1866	2582
839	1867	2579
840	1870	2577
841	1872	2574
842	1874	2572
843	1876	2569
844	1878	2567
845	1879	2564
846	1881	2561
847	1883	2559
848	1886	2556
849	1888	2554
850	1890	2552
851	1892	2549
852	1894	2547
853	1896	2544
854	1898	2542
855	1900	2539
856	1902	2537
857	1904	2534
858	1906	2532
859	1908	2529
860	1910	2527
861	1912	2524
862	1914	2522
863	1916	2519
864	1918	2517
865	1920	2514
866	1922	2512
867	1924	2509
868	1926	2507
869	1928	2504
870	1930	2502
871	1932	2499
872	1934	2497
873	1936	2494
874	1938	2492
875	1940	2489
876	1942	2487
877	1944	2484
878	1946	2482
879	1948	2479
880	1950	2477
881	1952	2474
882	1954	2472
883	1956	2469
884	1958	2467
885	1960	2464
886	1962	2462
887	1964	2459
888	1966	2457
889	1968	2455
890	1970	2452
891	1972	2450
892	1975	2448
893	1977	2446
894	1979	2443
895	1981	2441
896	1983	2438
897	1985	2436
898	1987	2434
899	1989	2431
900	1991	2429
901	1993	2426
902	1995	2424
903	1997	2422
904	1999	2419
905	2001	2417
906	2003	2414
907	2006	2412
908	2008	2410
909	2010	2407
910	2011	2405
911	2014	2402
912	2016	2400
913	2018	2397
914	2020	2395
915	2022	2393
916	2024	2390
917	2026	2388
918	2028	2385
919	2030	2383
920	2032	2381
921	2034	2378
922	2036	2376
923	2038	2373
924	2040	2371
925	2042	2369
926	2044	2366
927	2046	2364
928	2049	2362
929	2051	2359
930	2053	2357
931	2055	2354
932	2057	2352
933	2059	2351
934	2062	2349
935	2064	2347
936	2066	2344
937	2069	2342
938	2071	2340
939	2073	2337
940	2075	2335
941	2077	2333
942	2079	2330
943	2081	2328
944	2083	2325
945	2085	2323
946	2087	2321
947	2089	2318
948	2091	2316
949	2093	2313
950	2095	2311
951	2097	2308
952	2099	2306
953	2101	2304
954	2103	2301
955	2105	2299
956	2107	2297
957	2109	2294
958	2111	2292
959	2113	2289
960	2115	2287
961	2117	2285
962	2119	2282
963	2121	2280
964	2123	2278
965	2125	2275
966	2127	2273
967	2129	2270
968	2131	2268
969	2134	2266
970	2136	2263
971	2138	2261
972	2139	2258
973	2141	2256
974	2144	2253
975	2146	2251
976	2148	2249
977	2150	2246
978	2152	2244
979	2154	2242
980	2156	2239
981	2158	2237
982	2160	2234
983	2162	2232
984	2164	2230
985	2166	2227
986	2168	2225
987	2170	2223
988	2172	2220
989	2174	2218
990	2176	2215
991	2178	2213
992	2180	2211
993	2182	2208
994	2184	2206
995	2186	2203
996	2188	2201
997	2190	2199
998	2192	2196
999	2194	2194
1000	2196	2192
1001	2198	2189
1002	2200	2187
1003	2202	2184
1004	2204	2182
1005	2206	2180
1006	2208	2177
1007	2210	2175
1008	2212	2173
1009	2214	2170
1010	2216	2168
1011	2218	2166
1012	2220	2163
1013	2222	2161
1014	2224	2158
1015	2226	2156
1016	2228	2154
1017	2230	2151
1018	2232	2149
1019	2234	2147
1020	2236	2144
1021	2238	2142
1022	2240	2139
1023	2242	2137
1024	2244	2135
1025	2246	2132
1026	2248	2130
1027	2250	2128
1028	2252	2125
1029	2254	2123
1030	2256	2121
1031	2258	2118
1032	2260	2116
1033	2262	2114
1034	2264	2111
1035	2266	2109
1036	2268	2106
1037	2270	2104
1038	2272	2102
1039	2274	2099
1040	2277	2098
1041	2279	2096
1042	2282	2094
1043	2284	2092
1044	2287	2090
1045	2289	2088
1046	2291	2086
1047	2294	2084
1048	2296	2082
1049	2299	2080
1050	2301	2078
1051	2304	2076
1052	2306	2074
1053	2308	2072
1054	2311	2070
1055	2313	2068
1056	2316	2066
1057	2318	2064
1058	2321	2062
1059	2323	2060
1060	2326	2058
1061	2328	2056
1062	2331	2054
1063	2333	2052
1064	2336	2050
1065	2338	2048
1066	2340	2046
1067	2343	2044
1068	2345	2042
1069	2347	2040
1070	2349	2037
1071	2351	2035
1072	2353	2033
1073	2355	2031
1074	2357	2028
1075	2360	2026
1076	2362	2024
1077	2364	2022
1078	2366	2019
1079	2368	2017
1080	2370	2015
1081	2372	2013
1082	2374	2010
1083	2376	2008
1084	2379	2006
1085	2381	2003
1086	2383	2001
1087	2385	1999
1088	2387	1997
1089	2389	1994
1090	2391	1992
1091	2393	1990
1092	2395	1987
1093	2397	1985
1094	2399	1983
1095	2401	1980
1096	2403	1978
1097	2406	1976
1098	2408	1974
1099	2410	1972
1100	2413	1970
1101	2415	1968
1102	2418	1966
1103	2420	1964
1104	2423	1962
1105	2425	1960
1106	2428	1958
1107	2430	1956
1108	2432	1954
1109	2434	1952
1110	2436	1949
1111	2439	1947
1112	2441	1945
1113	2443	1943
1114	2445	1940
1115	2447	1938
1116	2449	1936
1117	2451	1933
1118	2453	1931
1119	2455	1929
1120	2457	1926
1121	2459	1924
1122	2461	1922
1123	2463	1919
1124	2465	1917
1125	2467	1915
1126	2469	1912
1127	2471	1910
1128	2473	1908
1129	2475	1906
1130	2477	1903
1131	2479	1901
1132	2481	1899
1133	2483	1896
1134	2485	1894
1135	2487	1892
1136	2489	1889
1137	2491	1887
1138	2493	1885
1139	2495	1882
1140	2497	1880
1141	2500	1878
1142	2502	1875
1143	2504	1873
1144	2506	1871
1145	2508	1869
1146	2510	1866
1147	2512	1864
1148	2514	1862
1149	2516	1859
1150	2518	1857
1151	2520	1855
1152	2522	1853
1153	2524	1850
1154	2526	1848
1155	2528	1845
1156	2530	1843
1157	2532	1841
1158	2534	1839
1159	2536	1836
1160	2538	1834
1161	2540	1832
1162	2542	1829
1163	2544	1827
1164	2546	1825
1165	2548	1822
1166	2550	1820
1167	2552	1818
1168	2554	1816
1169	2556	1813
1170	2558	1811
1171	2560	1809
1172	2562	1806
1173	2564	1804
1174	2566	1802
1175	2568	1799
1176	2570	1797
1177	2573	1795
1178	2575	1793
1179	2577	1790
1180	2579	1788
1181	2581	1786
1182	2583	1783
1183	2585	1781
1184	2587	1779
1185	2589	1777
1186	2591	1774
1187	2593	1772
1188	2595	1770
1189	2597	1767
1190	2599	1765
1191	2601	1763
1192	2603	1761
1193	2605	1758
1194	2607	1756
1195	2609	1754
1196	2611	1751
1197	2613	1749
1198	2615	1747
1199	2617	1745
1200	2619	1742
1201	2621	1740
1202	2623	1738
1203	2625	1735
1204	2627	1733
1205	2629	1731
1206	2631	1729
1207	2634	1726
1208	2636	1724
1209	2638	1722
1210	2640	1720
1211	2642	1717
1212	2644	1715
1213	2646	1713
1214	2648	1711
1215	2650	1708
1216	2652	1706
1217	2654	1704
1218	2656	1701
1219	2658	1699
1220	2660	1697
1221	2662	1695
1222	2664	1692
1223	2666	1690
1224	2668	1688
1225	2670	1686
1226	2672	1683
1227	2674	1681
1228	2676	1679
1229	2678	1677
1230	2680	1674
1231	2682	1672
1232	2684	1670
1233	2686	1667
1234	2688	1665
1235	2690	1663
1236	2692	1661
1237	2694	1658
1238	2696	1656
1239	2698	1654
1240	2700	1651
1241	2702	1649
1242	2704	1647
1243	2706	1645
1244	2708	1642
1245	2711	1640
